Row,Provider,Error Message,Error Code,Website
693,ASA International,Server didn't send data, ,http://www.asaint.com/
695,Bench,HTTPError,404,https://bench.co/video/
697,Deltek HRSmart,Duplicate, ,See Deltek
719,Corim Solutions,HTTPError,302,http://www.corim-solutions.com/
722,3i Infotech,HTTPError,404,http://www.3i-infotech.com/content/index.ASPx
732,HP Voltage Security,Duplicate, ,See HP
767,American Software,HTTPError,404,http://www.amsoftware.com/marketing/
774,Adeasy AS,HTTPError,500,http://www.adeasy.no/adeasy/
777,Hydra Management/eTask-it,HTTPError,403,http://www.etask.it/
805,myCart Poinf of Sale,HTTPError,404,http://www.mycart.net/
808,Hancom,HTTPError,404,http://www.hancom.com/en/aboutus/introduction.jsp
815,Clarabridge Engagor,Duplicate, ,See Clarabridge
